,CUSTNO,년도,반기,구매합계,평균구매,구매빈도,고정고객여부
0,1,2014,1,19925355,83720,238,고정고객
4,2,2014,1,24323230,71750,339,고정고객
8,3,2014,1,851215,2446,348,고정고객
12,4,2014,1,5042106,18674,270,고정고객
16,5,2014,1,5460150,14483,377,고정고객
20,6,2014,1,5281290,13753,384,고정고객
24,7,2014,1,13478195,69835,193,고정고객
28,8,2014,1,11695382,30378,385,고정고객
32,9,2014,1,38267420,298964,128,고정고객
36,10,2014,1,5130926,5871,874,고정고객
40,11,2014,1,27424075,116204,236,고정고객
44,12,2014,1,1195494,11837,101,고정고객
48,13,2014,1,3914524,6928,565,고정고객
52,14,2014,1,9504113,24370,390,고정고객
56,15,2014,1,9616578,34592,278,고정고객
60,16,2014,1,1268460,16474,77,고정고객
64,17,2014,1,49998701,328939,152,고정고객
68,18,2014,1,62432272,186923,334,고정고객
72,19,2014,1,10807580,62113,174,고정고객
76,20,2014,1,6405990,21569,297,고정고객
80,21,2014,1,4571031,10705,427,고정고객
84,22,2014,1,43445550,339418,128,고정고객
88,23,2014,1,14303324,66219,216,고정고객
92,24,2014,1,2888396,13820,209,고정고객
96,25,2014,1,4135322,37255,111,고정고객
100,26,2014,1,31182747,118566,263,고정고객
104,27,2014,1,20595916,116361,177,고정고객
108,28,2014,1,2058196,4764,432,고정고객
112,29,2014,1,25589460,145395,176,고정고객
116,30,2014,1,20517736,35933,571,고정고객
120,31,2014,1,2509860,11839,212,고정고객
124,32,2014,1,3786552,12294,308,고정고객
128,33,2014,1,2914228,5016,581,고정고객
132,34,2014,1,4965030,14821,335,고정고객
136,35,2014,1,9047898,36483,248,고정고객
140,36,2014,1,13537344,56172,241,고정고객
144,37,2014,1,5239520,26869,195,고정고객
148,38,2014,1,4722519,8478,557,고정고객
152,39,2014,1,114397170,841156,136,고정고객
156,40,2014,1,6548869,25885,253,고정고객
160,41,2014,1,4962620,33531,148,고정고객
164,42,2014,1,3504075,8871,395,고정고객
168,43,2014,1,1788554,7154,250,고정고객
172,44,2014,1,7833010,44760,175,고정고객
176,45,2014,1,27844323,189417,147,고정고객
180,46,2014,1,37079440,280905,132,고정고객
184,47,2014,1,7101446,11166,636,고정고객
188,48,2014,1,15716980,95254,165,고정고객
192,49,2014,1,20619754,109680,188,고정고객
196,50,2014,1,7439260,16422,453,고정고객
200,51,2014,1,7273495,11054,658,고정고객
204,52,2014,1,11793500,46800,252,고정고객
208,53,2014,1,18208531,120586,151,고정고객
212,54,2014,1,3144670,17970,175,고정고객
216,55,2014,1,1665337,7117,234,고정고객
220,56,2014,1,28310840,146688,193,고정고객
224,57,2014,1,2614348,4815,543,고정고객
228,58,2014,1,6112640,42156,145,고정고객
232,59,2014,1,8429690,46832,180,고정고객
236,60,2014,1,6094847,20660,295,고정고객
240,61,2014,1,10444883,19487,536,고정고객
244,62,2014,1,5723834,23458,244,고정고객
248,63,2014,1,1312450,8360,157,고정고객
252,64,2014,1,1310557,4083,321,고정고객
256,65,2014,1,3804791,19920,191,고정고객
260,66,2014,1,4999811,9784,511,고정고객
264,67,2014,1,1936991,6169,314,고정고객
268,68,2014,1,134454974,306276,439,고정고객
272,69,2014,1,3370799,4333,778,고정고객
276,70,2014,1,6683440,23206,288,고정고객
280,71,2014,1,1159581,4263,272,고정고객
284,72,2014,1,1702370,11740,145,고정고객
288,73,2014,1,59122820,306336,193,고정고객
292,74,2014,1,13677700,63617,215,고정고객
296,75,2014,1,1274322,6216,205,고정고객
300,76,2014,1,2882866,10521,274,고정고객
304,77,2014,1,9368211,44611,210,고정고객
308,78,2014,1,16137792,89159,181,고정고객
312,79,2014,1,3856113,8329,463,고정고객
316,80,2014,1,1821909,4898,372,고정고객
320,81,2014,1,14993920,79755,188,고정고객
324,82,2014,1,24029720,102254,235,고정고객
328,83,2014,1,16151760,85914,188,고정고객
332,84,2014,1,11494220,83899,137,고정고객
336,85,2014,1,1698480,15441,110,고정고객
340,86,2014,1,7576952,15885,477,고정고객
344,87,2014,1,28521810,150909,189,고정고객
348,88,2014,1,13055717,35477,368,고정고객
352,89,2014,1,4307388,10231,421,고정고객
356,90,2014,1,6159990,57570,107,고정고객
360,91,2014,1,4707878,23777,198,고정고객
364,92,2014,1,10905478,22211,491,고정고객
368,93,2014,1,20975520,102320,205,고정고객
372,94,2014,1,470651,11206,42,고정고객
376,95,2014,1,1971512,5633,350,고정고객
380,96,2014,1,13744600,65450,210,고정고객
384,97,2014,1,257426778,607139,424,고정고객
388,98,2014,1,4381072,18331,239,고정고객
392,99,2014,1,39262123,123855,317,고정고객
396,100,2014,1,7121874,45653,156,고정고객
400,101,2014,1,1950107,10157,192,고정고객
404,102,2014,1,50281258,73943,680,고정고객
408,103,2014,1,1159673,4792,242,고정고객
412,104,2014,1,3754752,5885,638,고정고객
416,105,2014,1,5329623,7647,697,고정고객
420,106,2014,1,19973640,100877,198,고정고객
424,107,2014,1,20054481,93713,214,고정고객
428,108,2014,1,3335520,19170,174,고정고객
432,109,2014,1,3162914,7868,402,고정고객
436,110,2014,1,5533636,14756,375,고정고객
440,111,2014,1,1062160,2832,375,고정고객
444,112,2014,1,18490950,145598,127,고정고객
448,113,2014,1,23250862,55228,421,고정고객
452,114,2014,1,6212805,24460,254,고정고객
456,115,2014,1,11009220,63271,174,고정고객
460,116,2014,1,2226518,5142,433,고정고객
464,117,2014,1,7851284,28865,272,고정고객
468,118,2014,1,16895220,122429,138,고정고객
472,119,2014,1,18417122,68465,269,고정고객
476,120,2014,1,76539640,264843,289,고정고객
480,121,2014,1,4421610,27463,161,고정고객
484,122,2014,1,7085737,36714,193,고정고객
488,123,2014,1,2542410,5913,430,고정고객
492,124,2014,1,10585300,72009,147,고정고객
496,125,2014,1,5086070,19412,262,고정고객
500,126,2014,1,4958434,16257,305,고정고객
504,127,2014,1,1794470,13195,136,고정고객
508,128,2014,1,2223210,11228,198,고정고객
512,129,2014,1,1629435,7440,219,고정고객
516,130,2014,1,17848306,60709,294,고정고객
520,131,2014,1,9205290,14968,615,고정고객
524,132,2014,1,2769124,5451,508,고정고객
528,133,2014,1,4233018,12487,339,고정고객
532,134,2014,1,24479781,211033,116,고정고객
536,135,2014,1,4855450,24277,200,고정고객
540,136,2014,1,3328150,23604,141,고정고객
544,137,2014,1,20794597,79673,261,고정고객
548,138,2014,1,10263470,55780,184,고정고객
552,139,2014,1,11612940,41475,280,고정고객
556,140,2014,1,68087330,267009,255,고정고객
560,141,2014,1,1299941,4153,313,고정고객
564,142,2014,1,242690,40448,6,고정고객
568,143,2014,1,1449750,4475,324,고정고객
572,144,2014,1,23078425,11176,2065,고정고객
576,145,2014,1,13278805,59814,222,고정고객
580,146,2014,1,28444740,192194,148,고정고객
584,147,2014,1,24056593,57414,419,고정고객
588,148,2014,1,1028103,3545,290,고정고객
592,149,2014,1,4637967,31338,148,고정고객
596,150,2014,1,10320657,22986,449,고정고객
600,151,2014,1,33096734,80724,410,고정고객
604,152,2014,1,7780259,24937,312,고정고객
608,153,2014,1,1976212,6862,288,고정고객
612,154,2014,1,34604059,174768,198,고정고객
616,155,2014,1,11078240,52011,213,고정고객
620,156,2014,1,26913120,71960,374,고정고객
624,157,2014,1,2797045,10595,264,고정고객
628,158,2014,1,1690460,9715,174,고정고객
632,159,2014,1,23523390,172966,136,고정고객
636,160,2014,1,5179314,15695,330,고정고객
640,161,2014,1,54670131,249635,219,고정고객
644,162,2014,1,13995386,56206,249,고정고객
648,163,2014,1,3056622,8239,371,고정고객
652,164,2014,1,41200283,374548,110,고정고객
656,165,2014,1,7349140,59267,124,고정고객
660,166,2014,1,8379080,41481,202,고정고객
664,167,2014,1,8248450,37155,222,고정고객
668,168,2014,1,19468036,66671,292,고정고객
672,169,2014,1,2635597,12035,219,고정고객
676,170,2014,1,3132565,7567,414,고정고객
680,171,2014,1,3675630,24504,150,고정고객
684,172,2014,1,5979720,17134,349,고정고객
688,173,2014,1,2518384,5523,456,고정고객
692,174,2014,1,386500,19325,20,비고정고객
694,175,2014,1,6983134,6418,1088,고정고객
698,176,2014,1,1825330,6590,277,고정고객
702,177,2014,1,28993591,137410,211,고정고객
706,178,2014,1,4802374,13303,361,고정고객
710,179,2014,1,11672022,33349,350,고정고객
714,180,2014,1,9995560,47598,210,고정고객
718,181,2014,1,9752750,54182,180,고정고객
722,182,2014,1,15135810,56267,269,고정고객
726,183,2014,1,3321860,6438,516,고정고객
730,184,2014,1,19471807,104687,186,고정고객
734,185,2014,1,950855,6841,139,고정고객
738,186,2014,1,34101346,89037,383,고정고객
742,187,2014,1,8577914,49872,172,고정고객
746,188,2014,1,3245153,5127,633,고정고객
750,189,2014,1,13334640,54206,246,고정고객
754,190,2014,1,11430940,53666,213,고정고객
758,191,2014,1,23006650,190138,121,고정고객
762,192,2014,1,6151812,38691,159,고정고객
766,193,2014,1,2488707,6708,371,고정고객
770,194,2014,1,3790619,8674,437,고정고객
774,195,2014,1,1362443,9396,145,고정고객
778,196,2014,1,8746283,26424,331,고정고객
782,197,2014,1,8441283,25814,327,고정고객
786,198,2014,1,3546657,10556,336,고정고객
790,199,2014,1,3593690,24956,144,고정고객
794,200,2014,1,3393276,8358,406,고정고객
798,201,2014,1,30310044,113948,266,고정고객
802,202,2014,1,17560215,51196,343,고정고객
806,203,2014,1,1742198,6156,283,고정고객
810,204,2014,1,6277121,13327,471,고정고객
814,205,2014,1,8233587,19419,424,고정고객
818,206,2014,1,3258895,6046,539,고정고객
822,207,2014,1,1591960,6717,237,고정고객
826,208,2014,1,26618470,211258,126,고정고객
830,209,2014,1,5228550,36309,144,고정고객
834,210,2014,1,1147749,6673,172,고정고객
838,211,2014,1,2469004,17146,144,고정고객
842,212,2014,1,5046871,11683,432,고정고객
846,213,2014,1,9034143,9611,940,고정고객
850,214,2014,1,5125736,15968,321,고정고객
854,215,2014,1,2829636,7200,393,고정고객
858,216,2014,1,3028944,8461,358,고정고객
862,217,2014,1,2834680,18407,154,고정고객
866,218,2014,1,36241501,215723,168,고정고객
870,219,2014,1,12331400,86841,142,고정고객
874,220,2014,1,4286493,6772,633,고정고객
878,221,2014,1,2181689,8589,254,고정고객
882,222,2014,1,16305500,100034,163,고정고객
886,223,2014,1,9551730,71282,134,고정고객
890,224,2014,1,40762629,289097,141,고정고객
894,225,2014,1,33698427,133195,253,고정고객
898,226,2014,1,3044822,11153,273,고정고객
902,227,2014,1,1346696,3815,353,고정고객
906,228,2014,1,2422076,7340,330,고정고객
