,CUSTNO,년도,반기,구매합계,평균구매,구매빈도,고정고객여부
1,1,2014,2,34116312,95832,356,고정고객
5,2,2014,2,21922100,80893,271,고정고객
9,3,2014,2,1042554,2666,391,고정고객
13,4,2014,2,4257510,24753,172,고정고객
17,5,2014,2,2225730,17121,130,고정고객
21,6,2014,2,6114089,16751,365,고정고객
25,7,2014,2,20933292,107350,195,고정고객
29,8,2014,2,18151180,40069,453,고정고객
33,9,2014,2,39862250,190728,209,고정고객
37,10,2014,2,4224924,5066,834,고정고객
41,11,2014,2,44651084,190005,235,고정고객
45,12,2014,2,831732,7232,115,고정고객
49,13,2014,2,4248115,6000,708,고정고객
53,14,2014,2,8041574,21617,372,고정고객
57,15,2014,2,4130611,17069,242,고정고객
61,16,2014,2,2944120,19369,152,고정고객
65,17,2014,2,20089530,143497,140,고정고객
69,18,2014,2,12947662,63782,203,고정고객
73,19,2014,2,9294660,69363,134,고정고객
77,20,2014,2,4268990,14136,302,고정고객
81,21,2014,2,5414334,9367,578,고정고객
85,22,2014,2,40323380,399241,101,고정고객
89,23,2014,2,32335677,107427,301,고정고객
93,24,2014,2,3643337,15504,235,고정고객
97,25,2014,2,4850080,41454,117,고정고객
101,26,2014,2,51131580,264930,193,고정고객
105,27,2014,2,7906760,59449,133,고정고객
109,28,2014,2,1823448,5079,359,고정고객
113,29,2014,2,18232790,79619,229,고정고객
117,30,2014,2,29935419,47217,634,고정고객
121,31,2014,2,4271680,18735,228,고정고객
125,32,2014,2,5353747,13318,402,고정고객
129,33,2014,2,2207566,4213,524,고정고객
133,34,2014,2,4155550,13319,312,고정고객
137,35,2014,2,10748684,60386,178,고정고객
141,36,2014,2,11176979,51271,218,고정고객
145,37,2014,2,25238100,73367,344,고정고객
149,38,2014,2,6005414,8126,739,고정고객
153,39,2014,2,24750450,178061,139,고정고객
157,40,2014,2,4053864,22152,183,고정고객
161,41,2014,2,4149840,30291,137,고정고객
165,42,2014,2,3044198,5969,510,고정고객
169,43,2014,2,2646626,14462,183,고정고객
173,44,2014,2,54814286,160276,342,고정고객
177,45,2014,2,61464816,299828,205,고정고객
181,46,2014,2,11367170,78939,144,고정고객
185,47,2014,2,7096524,18577,382,고정고객
189,48,2014,2,23230910,141652,164,고정고객
193,49,2014,2,14825410,94429,157,고정고객
197,50,2014,2,6596010,16956,389,고정고객
201,51,2014,2,6978319,14847,470,고정고객
205,52,2014,2,8038450,24212,332,고정고객
209,53,2014,2,19617916,84197,233,고정고객
213,54,2014,2,2807450,15258,184,고정고객
217,55,2014,2,2484157,10223,243,고정고객
221,56,2014,2,12100960,69948,173,고정고객
225,57,2014,2,2206643,4531,487,고정고객
229,58,2014,2,7459770,49077,152,고정고객
233,59,2014,2,6119358,24477,250,고정고객
237,60,2014,2,6785239,17006,399,고정고객
241,61,2014,2,5300518,15453,343,고정고객
245,62,2014,2,6215190,26224,237,고정고객
249,63,2014,2,1465930,10700,137,고정고객
253,64,2014,2,1380543,5210,265,고정고객
257,65,2014,2,5028865,25657,196,고정고객
261,66,2014,2,4285668,7722,555,고정고객
265,67,2014,2,2803406,6459,434,고정고객
269,68,2014,2,62551366,129506,483,고정고객
273,69,2014,2,4171335,4038,1033,고정고객
277,70,2014,2,12990960,54129,240,고정고객
281,71,2014,2,1176575,4016,293,고정고객
285,72,2014,2,2914007,10520,277,고정고객
289,73,2014,2,63912720,365216,175,고정고객
293,74,2014,2,9801000,51584,190,고정고객
297,75,2014,2,1506524,5539,272,고정고객
301,76,2014,2,3212068,15980,201,고정고객
305,77,2014,2,8311825,24519,339,고정고객
309,78,2014,2,19520260,76550,255,고정고객
313,79,2014,2,4549828,8333,546,고정고객
317,80,2014,2,2684343,5651,475,고정고객
321,81,2014,2,14094768,92729,152,고정고객
325,82,2014,2,44198016,124501,355,고정고객
329,83,2014,2,36180229,115962,312,고정고객
333,84,2014,2,5567280,55673,100,고정고객
337,85,2014,2,2862400,12836,223,고정고객
341,86,2014,2,10028915,21338,470,고정고객
345,87,2014,2,6072030,53735,113,고정고객
349,88,2014,2,13988663,36334,385,고정고객
353,89,2014,2,3777259,8683,435,고정고객
357,90,2014,2,29031812,159515,182,고정고객
361,91,2014,2,4738530,19581,242,고정고객
365,92,2014,2,15299130,32007,478,고정고객
369,93,2014,2,28301330,269536,105,고정고객
373,94,2014,2,17417270,43327,402,고정고객
377,95,2014,2,2029445,7806,260,고정고객
381,96,2014,2,8206880,36638,224,고정고객
385,97,2014,2,248380354,658834,377,고정고객
389,98,2014,2,6825069,29935,228,고정고객
393,99,2014,2,83788648,250864,334,고정고객
397,100,2014,2,15554964,53270,292,고정고객
401,101,2014,2,1364196,7496,182,고정고객
405,102,2014,2,28015666,38911,720,고정고객
409,103,2014,2,1232752,5707,216,고정고객
413,104,2014,2,4855008,9024,538,고정고객
417,105,2014,2,6670173,10137,658,고정고객
421,106,2014,2,13649200,66258,206,고정고객
425,107,2014,2,36525210,175602,208,고정고객
429,108,2014,2,3308000,12578,263,고정고객
433,109,2014,2,2561042,6704,382,고정고객
437,110,2014,2,10005087,22687,441,고정고객
441,111,2014,2,1423193,3975,358,고정고객
445,112,2014,2,14816654,60724,244,고정고객
449,113,2014,2,30489659,64460,473,고정고객
453,114,2014,2,7688035,53389,144,고정고객
457,115,2014,2,18301547,125353,146,고정고객
461,116,2014,2,1876045,4178,449,고정고객
465,117,2014,2,19413088,57606,337,고정고객
469,118,2014,2,37146710,156079,238,고정고객
473,119,2014,2,16404850,62614,262,고정고객
477,120,2014,2,54796370,164554,333,고정고객
481,121,2014,2,3308727,15040,220,고정고객
485,122,2014,2,6973853,22069,316,고정고객
489,123,2014,2,2763158,6925,399,고정고객
493,124,2014,2,7745720,45563,170,고정고객
497,125,2014,2,3162240,15971,198,고정고객
501,126,2014,2,12152664,35022,347,고정고객
505,127,2014,2,1766894,13488,131,고정고객
509,128,2014,2,3505615,18258,192,고정고객
513,129,2014,2,1716307,7303,235,고정고객
517,130,2014,2,12366380,35741,346,고정고객
521,131,2014,2,7521141,13479,558,고정고객
525,132,2014,2,3770725,5433,694,고정고객
529,133,2014,2,5303828,18545,286,고정고객
533,134,2014,2,15684230,74687,210,고정고객
537,135,2014,2,3613888,19430,186,고정고객
541,136,2014,2,9098730,55480,164,고정고객
545,137,2014,2,17180614,66851,257,고정고객
549,138,2014,2,14740470,93888,157,고정고객
553,139,2014,2,20489220,61345,334,고정고객
557,140,2014,2,71901806,265320,271,고정고객
561,141,2014,2,1130413,4315,262,고정고객
565,142,2014,2,196350,65450,3,고정고객
569,143,2014,2,1683772,4306,391,고정고객
573,144,2014,2,26472719,11146,2375,고정고객
577,145,2014,2,62527672,257316,243,고정고객
581,146,2014,2,22498140,189060,119,고정고객
585,147,2014,2,25894330,58985,439,고정고객
589,148,2014,2,1509869,3794,398,고정고객
593,149,2014,2,9621288,45170,213,고정고객
597,150,2014,2,5823848,10706,544,고정고객
601,151,2014,2,15359376,48606,316,고정고객
605,152,2014,2,6769231,23423,289,고정고객
609,153,2014,2,4903906,20181,243,고정고객
613,154,2014,2,3495825,23306,150,고정고객
617,155,2014,2,16819190,69501,242,고정고객
621,156,2014,2,27866310,82202,339,고정고객
625,157,2014,2,3567557,15377,232,고정고객
629,158,2014,2,3378984,9011,375,고정고객
633,159,2014,2,27078655,180524,150,고정고객
637,160,2014,2,4121379,15494,266,고정고객
641,161,2014,2,55029420,302359,182,고정고객
645,162,2014,2,20435990,64671,316,고정고객
649,163,2014,2,2643332,5874,450,고정고객
653,164,2014,2,17073707,99846,171,고정고객
657,165,2014,2,13668166,95582,143,고정고객
661,166,2014,2,9696623,30397,319,고정고객
665,167,2014,2,17691190,89803,197,고정고객
669,168,2014,2,20389576,65142,313,고정고객
673,169,2014,2,713888,4958,144,고정고객
677,170,2014,2,3366079,7366,457,고정고객
681,171,2014,2,11405665,72188,158,고정고객
685,172,2014,2,5357358,14678,365,고정고객
689,173,2014,2,3178679,6435,494,고정고객
695,175,2014,2,7223238,6216,1162,고정고객
