,CUSTNO,년도,반기,구매합계,평균구매,구매빈도,고정고객여부
3,1,2015,2,13102518,86772,151,고정고객
7,2,2015,2,25843820,105485,245,고정고객
11,3,2015,2,679118,2927,232,고정고객
15,4,2015,2,3737257,16610,225,고정고객
19,5,2015,2,2616260,29396,89,고정고객
23,6,2015,2,6721983,15038,447,고정고객
27,7,2015,2,18291485,94775,193,고정고객
31,8,2015,2,18002970,35862,502,고정고객
35,9,2015,2,41814260,199116,210,고정고객
39,10,2015,2,3926650,5021,782,고정고객
43,11,2015,2,23587850,130320,181,고정고객
47,12,2015,2,3149397,23157,136,고정고객
51,13,2015,2,4487216,5850,767,고정고객
55,14,2015,2,5600485,20897,268,고정고객
59,15,2015,2,2980917,13865,215,고정고객
63,16,2015,2,3062830,19634,156,고정고객
67,17,2015,2,47747646,159691,299,고정고객
71,18,2015,2,2434805,20290,120,고정고객
75,19,2015,2,11786720,85411,138,고정고객
79,20,2015,2,5422580,27526,197,고정고객
83,21,2015,2,5547895,8548,649,고정고객
87,22,2015,2,24422440,218058,112,고정고객
91,23,2015,2,16520880,189895,87,고정고객
95,24,2015,2,3258112,16881,193,고정고객
99,25,2015,2,18613660,99538,187,고정고객
103,26,2015,2,20112021,76472,263,고정고객
107,27,2015,2,17907960,93759,191,고정고객
111,28,2015,2,2756562,9344,295,고정고객
115,29,2015,2,21789227,89668,243,고정고객
119,30,2015,2,28490365,47803,596,고정고객
123,31,2015,2,3541220,12004,295,고정고객
127,32,2015,2,5871373,14426,407,고정고객
131,33,2015,2,2908181,4360,667,고정고객
135,34,2015,2,2387670,28767,83,고정고객
139,35,2015,2,12661823,46380,273,고정고객
143,36,2015,2,8621710,27902,309,고정고객
147,37,2015,2,13543830,37832,358,고정고객
151,38,2015,2,7412883,10697,693,고정고객
155,39,2015,2,32934384,265600,124,고정고객
159,40,2015,2,8543304,42504,201,고정고객
163,41,2015,2,4612200,21060,219,고정고객
167,42,2015,2,5016032,8013,626,고정고객
171,43,2015,2,1655597,4927,336,고정고객
175,44,2015,2,38008680,155137,245,고정고객
179,45,2015,2,63384740,362199,175,고정고객
183,46,2015,2,37039940,169132,219,고정고객
187,47,2015,2,2761991,9971,277,고정고객
191,48,2015,2,19050570,114762,166,고정고객
195,49,2015,2,33797290,208625,162,고정고객
199,50,2015,2,5759291,11999,480,고정고객
203,51,2015,2,3887529,12225,318,고정고객
207,52,2015,2,6382970,23467,272,고정고객
211,53,2015,2,5580355,29217,191,고정고객
215,54,2015,2,2512460,11020,228,고정고객
219,55,2015,2,1644855,7615,216,고정고객
223,56,2015,2,15985850,83696,191,고정고객
227,57,2015,2,2526370,4095,617,고정고객
231,58,2015,2,7473690,52632,142,고정고객
235,59,2015,2,6810704,36035,189,고정고객
239,60,2015,2,10962295,27067,405,고정고객
243,61,2015,2,6642208,14860,447,고정고객
247,62,2015,2,4716328,20155,234,고정고객
251,63,2015,2,1643270,10020,164,고정고객
255,64,2015,2,390774,7373,53,고정고객
259,65,2015,2,3621968,19164,189,고정고객
263,66,2015,2,4428265,8549,518,고정고객
267,67,2015,2,3120098,4868,641,고정고객
271,68,2015,2,48407710,127389,380,고정고객
275,69,2015,2,4468195,3986,1121,고정고객
279,70,2015,2,7540370,235637,32,고정고객
283,71,2015,2,1127127,4221,267,고정고객
287,72,2015,2,2812370,9251,304,고정고객
291,73,2015,2,49692080,354943,140,고정고객
295,74,2015,2,3346090,24247,138,고정고객
299,75,2015,2,1273310,4897,260,고정고객
303,76,2015,2,3153400,13476,234,고정고객
307,77,2015,2,10773882,37936,284,고정고객
311,78,2015,2,23013000,86191,267,고정고객
315,79,2015,2,3914785,7814,501,고정고객
319,80,2015,2,3397439,7901,430,고정고객
323,81,2015,2,25690100,123510,208,고정고객
327,82,2015,2,55821428,225086,248,고정고객
331,83,2015,2,40436910,152592,265,고정고객
335,84,2015,2,7791030,75641,103,고정고객
339,85,2015,2,5165360,17451,296,고정고객
343,86,2015,2,13691191,24893,550,고정고객
347,87,2015,2,9259250,77809,119,고정고객
351,88,2015,2,24323994,66098,368,고정고객
355,89,2015,2,3524364,5923,595,고정고객
359,90,2015,2,14853350,110025,135,고정고객
363,91,2015,2,4630379,18596,249,고정고객
367,92,2015,2,17838951,42474,420,고정고객
371,93,2015,2,28904097,105489,274,고정고객
375,94,2015,2,45928590,123464,372,고정고객
379,95,2015,2,2150120,6232,345,고정고객
383,96,2015,2,5410700,30227,179,고정고객
387,97,2015,2,166374512,502642,331,고정고객
391,98,2015,2,4835406,26863,180,고정고객
395,99,2015,2,68290903,223905,305,고정고객
399,100,2015,2,2241544,20378,110,고정고객
403,101,2015,2,2026891,7766,261,고정고객
407,102,2015,2,17917323,29615,605,고정고객
411,103,2015,2,1208785,5144,235,고정고객
415,104,2015,2,3750802,5657,663,고정고객
419,105,2015,2,6069681,11282,538,고정고객
423,106,2015,2,23048829,112433,205,고정고객
427,107,2015,2,40892127,202436,202,고정고객
431,108,2015,2,4612330,15222,303,고정고객
435,109,2015,2,1666526,4960,336,고정고객
439,110,2015,2,5066981,18697,271,고정고객
443,111,2015,2,1278096,3007,425,고정고객
447,112,2015,2,49061825,164086,299,고정고객
451,113,2015,2,16633121,46332,359,고정고객
455,114,2015,2,3135884,17422,180,고정고객
459,115,2015,2,14568400,161871,90,고정고객
463,116,2015,2,1866686,4455,419,고정고객
467,117,2015,2,9110473,33494,272,고정고객
471,118,2015,2,26471820,155717,170,고정고객
475,119,2015,2,10855772,68275,159,고정고객
479,120,2015,2,61141842,225616,271,고정고객
483,121,2015,2,6442207,22291,289,고정고객
487,122,2015,2,11618062,31485,369,고정고객
491,123,2015,2,2447233,5954,411,고정고객
495,124,2015,2,10369730,54866,189,고정고객
499,125,2015,2,2945541,16274,181,고정고객
503,126,2015,2,9114165,23490,388,고정고객
507,127,2015,2,1865060,9614,194,고정고객
511,128,2015,2,1503826,9399,160,고정고객
515,129,2015,2,2187820,6794,322,고정고객
519,130,2015,2,4433933,31899,139,고정고객
523,131,2015,2,7902644,13962,566,고정고객
527,132,2015,2,1646724,10556,156,고정고객
531,133,2015,2,8507971,28550,298,고정고객
535,134,2015,2,31052783,150013,207,고정고객
539,135,2015,2,2362830,17247,137,고정고객
543,136,2015,2,14431150,103821,139,고정고객
547,137,2015,2,52269330,188019,278,고정고객
551,138,2015,2,10356172,33515,309,고정고객
555,139,2015,2,10609018,24002,442,고정고객
559,140,2015,2,64016800,310761,206,고정고객
563,141,2015,2,1913258,4759,402,고정고객
567,142,2015,2,324750,64950,5,고정고객
571,143,2015,2,2164319,4500,481,고정고객
575,144,2015,2,9175530,25630,358,고정고객
579,145,2015,2,44661224,197616,226,고정고객
583,146,2015,2,19312900,205456,94,고정고객
587,147,2015,2,18189204,36018,505,고정고객
591,148,2015,2,1525116,3794,402,고정고객
595,149,2015,2,6236669,28478,219,고정고객
599,150,2015,2,2036634,9562,213,고정고객
603,151,2015,2,23842663,70125,340,고정고객
607,152,2015,2,8133040,51475,158,고정고객
611,153,2015,2,1681567,6543,257,고정고객
615,154,2015,2,30715305,106650,288,고정고객
619,155,2015,2,15643950,61109,256,고정고객
623,156,2015,2,29380000,122417,240,고정고객
627,157,2015,2,4923720,20601,239,고정고객
631,158,2015,2,3203654,9232,347,고정고객
635,159,2015,2,42107760,241999,174,고정고객
639,160,2015,2,4837192,15454,313,고정고객
643,161,2015,2,29541636,190591,155,고정고객
647,162,2015,2,13393491,61721,217,고정고객
651,163,2015,2,3253508,8584,379,고정고객
655,164,2015,2,29432305,67197,438,고정고객
659,165,2015,2,10752269,99558,108,고정고객
663,166,2015,2,9691271,42693,227,고정고객
667,167,2015,2,10531270,35222,299,고정고객
671,168,2015,2,21945232,77545,283,고정고객
675,169,2015,2,3216088,8669,371,고정고객
679,170,2015,2,4458671,7570,589,고정고객
683,171,2015,2,8281715,33260,249,고정고객
687,172,2015,2,5890083,15919,370,고정고객
691,173,2015,2,2671293,4566,585,고정고객
697,175,2015,2,10281177,8525,1206,고정고객
701,176,2015,2,1592794,5073,314,고정고객
705,177,2015,2,22722753,177522,128,고정고객
709,178,2015,2,5293815,8484,624,고정고객
713,179,2015,2,11585780,35215,329,고정고객
717,180,2015,2,13297830,75556,176,고정고객
721,181,2015,2,24441354,86061,284,고정고객
725,182,2015,2,22326271,49069,455,고정고객
729,183,2015,2,2618115,5257,498,고정고객
733,184,2015,2,4848930,37015,131,고정고객
737,185,2015,2,1904519,8104,235,고정고객
741,186,2015,2,10092759,29772,339,고정고객
745,187,2015,2,4874584,26349,185,고정고객
749,188,2015,2,4619320,4899,943,고정고객
753,189,2015,2,17172070,43474,395,고정고객
757,190,2015,2,11710723,37777,310,고정고객
761,191,2015,2,31827690,215052,148,고정고객
765,192,2015,2,15142640,41715,363,고정고객
769,193,2015,2,2901543,7576,383,고정고객
